iso3,country,emmigrants,year,time_period,indicator
MKD,The Former Yugoslav Republic of Macedonia,144,2003,NA,Number of emigrants - Number
POL,Poland,20813,2003,NA,Number of emigrants - Number
ROU,Romania,143977,2003,NA,Number of emigrants - Number
RUS,Russian Federation,94018,2003,NA,Number of emigrants - Number
SVK,Slovakia,1194,2003,NA,Number of emigrants - Number
SVN,Slovenia,5867,2003,NA,Number of emigrants - Number
UKR,Ukraine,63699,2003,NA,Number of emigrants - Number
ARM,Armenia,9227,2004,2004,Number of emigrants - Number
AZE,Azerbaijan,2800,2004,NA,Number of emigrants - Number
KAZ,Kazakhstan,65530,2004,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,22607,2004,NA,Number of emigrants - Number
TJK,Tajikistan,7846,2004,NA,Number of emigrants - Number
TKM,Turkmenistan,9643,2004,NA,Number of emigrants - Number
UZB,Uzbekistan,95481,2004,NA,Number of emigrants - Number
BLR,Belarus,12510,2004,NA,Number of emigrants - Number
CZE,Czech Republic,34818,2004,NA,Number of emigrants - Number
EST,Estonia,2927,2004,NA,Number of emigrants - Number
HRV,Croatia,6812,2004,NA,Number of emigrants - Number
HUN,Hungary,3466,2004,NA,Number of emigrants - Number
LTU,Lithuania,15165,2004,NA,Number of emigrants - Number
LVA,Latvia,20167,2004,NA,Number of emigrants - Number
MDA,Republic of Moldova,7166,2004,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,669,2004,NA,Number of emigrants - Number
POL,Poland,18877,2004,NA,Number of emigrants - Number
ROU,Romania,194488,2004,NA,Number of emigrants - Number
RUS,Russian Federation,79795,2004,NA,Number of emigrants - Number
SVK,Slovakia,1586,2004,NA,Number of emigrants - Number
SVN,Slovenia,8269,2004,NA,Number of emigrants - Number
UKR,Ukraine,46182,2004,NA,Number of emigrants - Number
ARM,Armenia,9303,2005,2005,Number of emigrants - Number
AZE,Azerbaijan,2906,2005,NA,Number of emigrants - Number
KAZ,Kazakhstan,52139,2005,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,30741,2005,NA,Number of emigrants - Number
TJK,Tajikistan,7275,2005,NA,Number of emigrants - Number
TKM,Turkmenistan,8733,2005,NA,Number of emigrants - Number
UZB,Uzbekistan,104991,2005,NA,Number of emigrants - Number
BLR,Belarus,11082,2005,NA,Number of emigrants - Number
CZE,Czech Republic,24065,2005,NA,Number of emigrants - Number
EST,Estonia,4610,2005,NA,Number of emigrants - Number
HRV,Croatia,6012,2005,NA,Number of emigrants - Number
HUN,Hungary,3320,2005,NA,Number of emigrants - Number
LTU,Lithuania,15571,2005,NA,Number of emigrants - Number
LVA,Latvia,17643,2005,NA,Number of emigrants - Number
MDA,Republic of Moldova,6827,2005,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1300,2005,NA,Number of emigrants - Number
POL,Poland,22242,2005,NA,Number of emigrants - Number
ROU,Romania,175297,2005,NA,Number of emigrants - Number
RUS,Russian Federation,69798,2005,NA,Number of emigrants - Number
SVK,Slovakia,1873,2005,NA,Number of emigrants - Number
SVN,Slovenia,8605,2005,NA,Number of emigrants - Number
UKR,Ukraine,34997,2005,NA,Number of emigrants - Number
ARM,Armenia,8053,2006,2006,Number of emigrants - Number
AZE,Azerbaijan,2644,2006,NA,Number of emigrants - Number
KAZ,Kazakhstan,33690,2006,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,34423,2006,NA,Number of emigrants - Number
TJK,Tajikistan,8334,2006,NA,Number of emigrants - Number
TKM,Turkmenistan,10093,2006,NA,Number of emigrants - Number
UZB,Uzbekistan,67323,2006,NA,Number of emigrants - Number
BLR,Belarus,8498,2006,NA,Number of emigrants - Number
CZE,Czech Republic,33463,2006,NA,Number of emigrants - Number
EST,Estonia,5527,2006,NA,Number of emigrants - Number
HRV,Croatia,7692,2006,NA,Number of emigrants - Number
HUN,Hungary,3956,2006,NA,Number of emigrants - Number
LTU,Lithuania,12602,2006,NA,Number of emigrants - Number
LVA,Latvia,17019,2006,NA,Number of emigrants - Number
MDA,Republic of Moldova,6685,2006,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1108,2006,NA,Number of emigrants - Number
POL,Poland,46936,2006,NA,Number of emigrants - Number
ROU,Romania,188439,2006,NA,Number of emigrants - Number
RUS,Russian Federation,54061,2006,NA,Number of emigrants - Number
SVK,Slovakia,1735,2006,NA,Number of emigrants - Number
SVN,Slovenia,13749,2006,NA,Number of emigrants - Number
UKR,Ukraine,29982,2006,NA,Number of emigrants - Number
ARM,Armenia,7461,2007,2007,Number of emigrants - Number
AZE,Azerbaijan,3083,2007,NA,Number of emigrants - Number
KAZ,Kazakhstan,42435,2007,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,54608,2007,NA,Number of emigrants - Number
TJK,Tajikistan,11414,2007,NA,Number of emigrants - Number
UZB,Uzbekistan,66207,2007,NA,Number of emigrants - Number
BGR,Bulgaria,2958,2007,NA,Number of emigrants - Number
BLR,Belarus,9479,2007,NA,Number of emigrants - Number
CZE,Czech Republic,20500,2007,NA,Number of emigrants - Number
EST,Estonia,4384,2007,NA,Number of emigrants - Number
HRV,Croatia,9002,2007,NA,Number of emigrants - Number
HUN,Hungary,4133,2007,NA,Number of emigrants - Number
LTU,Lithuania,13853,2007,NA,Number of emigrants - Number
LVA,Latvia,15463,2007,NA,Number of emigrants - Number
MDA,Republic of Moldova,7172,2007,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,240,2007,NA,Number of emigrants - Number
POL,Poland,35480,2007,NA,Number of emigrants - Number
ROU,Romania,544074,2007,NA,Number of emigrants - Number
RUS,Russian Federation,47013,2007,NA,Number of emigrants - Number
SVK,Slovakia,1831,2007,NA,Number of emigrants - Number
SVN,Slovenia,14943,2007,NA,Number of emigrants - Number
UKR,Ukraine,29669,2007,NA,Number of emigrants - Number
MNE,Montenegro,736,2007,NA,Number of emigrants - Number
ARM,Armenia,6747,2008,2008,Number of emigrants - Number
AZE,Azerbaijan,2530,2008,NA,Number of emigrants - Number
KAZ,Kazakhstan,44813,2008,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,41287,2008,NA,Number of emigrants - Number
TJK,Tajikistan,10391,2008,NA,Number of emigrants - Number
UZB,Uzbekistan,51236,2008,NA,Number of emigrants - Number
BGR,Bulgaria,2112,2008,NA,Number of emigrants - Number
BLR,Belarus,9268,2008,NA,Number of emigrants - Number
CZE,Czech Republic,6027,2008,NA,Number of emigrants - Number
EST,Estonia,4406,2008,NA,Number of emigrants - Number
HRV,Croatia,7488,2008,NA,Number of emigrants - Number
HUN,Hungary,4241,2008,NA,Number of emigrants - Number
LTU,Lithuania,17015,2008,NA,Number of emigrants - Number
LVA,Latvia,27045,2008,NA,Number of emigrants - Number
MDA,Republic of Moldova,6988,2008,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,751,2008,NA,Number of emigrants - Number
