iso3,country,emigrants,year,time_period
BGR,Bulgaria,2112,2008,NA
BLR,Belarus,9268,2008,NA
CZE,Czech Republic,6027,2008,NA
EST,Estonia,4406,2008,NA
HRV,Croatia,7488,2008,NA
HUN,Hungary,4241,2008,NA
LTU,Lithuania,17015,2008,NA
LVA,Latvia,27045,2008,NA
MDA,Republic of Moldova,6988,2008,NA
MKD,The Former Yugoslav Republic of Macedonia,751,2008,NA
POL,Poland,30140,2008,NA
ROU,Romania,302796,2008,NA
RUS,Russian Federation,39508,2008,NA
SVK,Slovakia,1705,2008,NA
SVN,Slovenia,12109,2008,NA
UKR,Ukraine,22402,2008,NA
ARM,Armenia,4797,2009,2009
AZE,Azerbaijan,1373,2009,NA
KAZ,Kazakhstan,33985,2009,NA
KGZ,Kyrgyzstan,33380,2009,NA
TJK,Tajikistan,8284,2009,NA
UZB,Uzbekistan,52186,2009,NA
BGR,Bulgaria,19039,2009,NA
BLR,Belarus,7643,2009,NA
CZE,Czech Republic,11629,2009,NA
EST,Estonia,4658,2009,NA
HRV,Croatia,9940,2009,NA
HUN,Hungary,5600,2009,NA
LTU,Lithuania,21970,2009,NA
LVA,Latvia,38208,2009,NA
MDA,Republic of Moldova,6663,2009,NA
MKD,The Former Yugoslav Republic of Macedonia,792,2009,NA
POL,Poland,41933,2009,NA
ROU,Romania,246626,2009,NA
RUS,Russian Federation,32458,2009,NA
SVK,Slovakia,1979,2009,NA
SVN,Slovenia,18788,2009,NA
UKR,Ukraine,19470,2009,NA
ARM,Armenia,3273,2010,2010
AZE,Azerbaijan,799,2010,NA
KAZ,Kazakhstan,26541,2010,NA
KGZ,Kyrgyzstan,54531,2010,NA
TJK,Tajikistan,5379,2010,NA
UZB,Uzbekistan,44420,2010,NA
BGR,Bulgaria,27708,2010,NA
BLR,Belarus,6866,2010,NA
CZE,Czech Republic,14867,2010,NA
EST,Estonia,5294,2010,NA
HRV,Croatia,9860,2010,NA
HUN,Hungary,6047,2010,NA
LTU,Lithuania,83157,2010,NA
LVA,Latvia,39651,2010,NA
MDA,Republic of Moldova,4714,2010,NA
MKD,The Former Yugoslav Republic of Macedonia,1007,2010,NA
POL,Poland,41216,2010,NA
ROU,Romania,197985,2010,NA
RUS,Russian Federation,33578,2010,NA
SVK,Slovakia,1889,2010,NA
SVN,Slovenia,15937,2010,NA
UKR,Ukraine,14677,2010,NA
ARM,Armenia,2637,2011,2011
AZE,Azerbaijan,484,2011,NA
KAZ,Kazakhstan,32920,2011,NA
KGZ,Kyrgyzstan,45740,2011,NA
TJK,Tajikistan,3991,2011,NA
UZB,Uzbekistan,50816,2011,NA
ALB,Albania,55162,2011,NA
BGR,Bulgaria,9517,2011,NA
BLR,Belarus,7610,2011,NA
CZE,Czech Republic,5701,2011,NA
EST,Estonia,6214,2011,NA
HRV,Croatia,12699,2011,NA
HUN,Hungary,2687,2011,NA
LTU,Lithuania,53863,2011,NA
LVA,Latvia,30311,2011,NA
MDA,Republic of Moldova,3920,2011,NA
MKD,The Former Yugoslav Republic of Macedonia,1290,2011,NA
POL,Poland,44337,2011,NA
ROU,Romania,195551,2011,NA
RUS,Russian Federation,36774,2011,NA
SVK,Slovakia,1863,2011,NA
SVN,Slovenia,12024,2011,NA
UKR,Ukraine,14588,2011,NA
AZE,Azerbaijan,226,2012,2012
GEO,Georgia,90584,2012,NA
KAZ,Kazakhstan,29722,2012,NA
KGZ,Kyrgyzstan,13019,2012,NA
TJK,Tajikistan,4155,2012,NA
UZB,Uzbekistan,45447,2012,NA
ALB,Albania,52307,2012,NA
BGR,Bulgaria,16615,2012,NA
BLR,Belarus,8712,2012,NA
CZE,Czech Republic,20005,2012,NA
EST,Estonia,6321,2012,NA
HRV,Croatia,12877,2012,NA
HUN,Hungary,9916,2012,NA
LTU,Lithuania,41100,2012,NA
LVA,Latvia,25163,2012,NA
MDA,Republic of Moldova,3062,2012,NA
MKD,The Former Yugoslav Republic of Macedonia,1415,2012,NA
POL,Poland,49731,2012,NA
ROU,Romania,170186,2012,NA
RUS,Russian Federation,122751,2012,NA
SVK,Slovakia,2003,2012,NA
SVN,Slovenia,14378,2012,NA
UKR,Ukraine,14517,2012,NA
AZE,Azerbaijan,781,2013,2013
