iso3,country,year,education_classification,unemployment (thousands)
ARM,Armenia,2001,Education (Aggregate levels): Intermediate,112.7
ARM,Armenia,2001,Education (Aggregate levels): Advanced,17.1
ARM,Armenia,2002,Education (Aggregate levels): Total,127.3
ARM,Armenia,2002,Education (Aggregate levels): Basic,7.1
ARM,Armenia,2002,Education (Aggregate levels): Intermediate,104.2
ARM,Armenia,2002,Education (Aggregate levels): Advanced,16
ARM,Armenia,2003,Education (Aggregate levels): Total,118.6
ARM,Armenia,2003,Education (Aggregate levels): Basic,6.4
ARM,Armenia,2003,Education (Aggregate levels): Intermediate,96.8
ARM,Armenia,2003,Education (Aggregate levels): Advanced,15.4
ARM,Armenia,2004,Education (Aggregate levels): Total,108.6
ARM,Armenia,2004,Education (Aggregate levels): Basic,5.7
ARM,Armenia,2004,Education (Aggregate levels): Intermediate,88.5
ARM,Armenia,2004,Education (Aggregate levels): Advanced,14.4
ARM,Armenia,2005,Education (Aggregate levels): Total,89
ARM,Armenia,2005,Education (Aggregate levels): Basic,5.5
ARM,Armenia,2005,Education (Aggregate levels): Intermediate,71
ARM,Armenia,2005,Education (Aggregate levels): Advanced,12.5
ARM,Armenia,2006,Education (Aggregate levels): Total,84.6
ARM,Armenia,2006,Education (Aggregate levels): Basic,4.9
ARM,Armenia,2006,Education (Aggregate levels): Intermediate,67.5
ARM,Armenia,2006,Education (Aggregate levels): Advanced,12.2
ARM,Armenia,2008,Education (Aggregate levels): Total,74.7
ARM,Armenia,2008,Education (Aggregate levels): Basic,3.8
ARM,Armenia,2008,Education (Aggregate levels): Intermediate,59.6
ARM,Armenia,2008,Education (Aggregate levels): Advanced,11.4
AUT,Austria,1998,Education (Aggregate levels): Total,211.9755
AUT,Austria,1998,Education (Aggregate levels): Basic,79.2126
AUT,Austria,1998,Education (Aggregate levels): Intermediate,124.8079
AUT,Austria,1998,Education (Aggregate levels): Advanced,7.955
AUT,Austria,1999,Education (Aggregate levels): Total,181.2841
AUT,Austria,1999,Education (Aggregate levels): Basic,62.6805
AUT,Austria,1999,Education (Aggregate levels): Intermediate,106.1797
AUT,Austria,1999,Education (Aggregate levels): Advanced,12.4238
AUT,Austria,2000,Education (Aggregate levels): Total,181.1468
AUT,Austria,2000,Education (Aggregate levels): Basic,65.2977
AUT,Austria,2000,Education (Aggregate levels): Intermediate,102.6975
AUT,Austria,2000,Education (Aggregate levels): Advanced,13.1515
AUT,Austria,2001,Education (Aggregate levels): Total,154.3012
AUT,Austria,2001,Education (Aggregate levels): Basic,53.1915
AUT,Austria,2001,Education (Aggregate levels): Intermediate,89.7899
AUT,Austria,2001,Education (Aggregate levels): Advanced,11.3197
AUT,Austria,2002,Education (Aggregate levels): Total,187.0008
AUT,Austria,2002,Education (Aggregate levels): Basic,60.3227
AUT,Austria,2002,Education (Aggregate levels): Intermediate,114.6947
AUT,Austria,2002,Education (Aggregate levels): Advanced,11.9834
AUT,Austria,2003,Education (Aggregate levels): Total,187.9539
AUT,Austria,2003,Education (Aggregate levels): Basic,65.8686
AUT,Austria,2003,Education (Aggregate levels): Intermediate,105.9043
AUT,Austria,2003,Education (Aggregate levels): Advanced,16.0475
AUT,Austria,2004,Education (Aggregate levels): Total,223.4269
AUT,Austria,2004,Education (Aggregate levels): Basic,78.4592
AUT,Austria,2004,Education (Aggregate levels): Intermediate,121.0143
AUT,Austria,2004,Education (Aggregate levels): Advanced,23.9535
AUT,Austria,2005,Education (Aggregate levels): Total,223.4595
AUT,Austria,2005,Education (Aggregate levels): Basic,78.4274
AUT,Austria,2005,Education (Aggregate levels): Intermediate,123.2976
AUT,Austria,2005,Education (Aggregate levels): Advanced,21.7346
AUT,Austria,2006,Education (Aggregate levels): Total,211.6869
AUT,Austria,2006,Education (Aggregate levels): Basic,75.6984
AUT,Austria,2006,Education (Aggregate levels): Intermediate,115.3057
AUT,Austria,2006,Education (Aggregate levels): Advanced,20.6829
AUT,Austria,2007,Education (Aggregate levels): Total,200.3352
AUT,Austria,2007,Education (Aggregate levels): Basic,74.6758
AUT,Austria,2007,Education (Aggregate levels): Intermediate,106.0669
AUT,Austria,2007,Education (Aggregate levels): Advanced,19.5925
AUT,Austria,2008,Education (Aggregate levels): Total,171.981
AUT,Austria,2008,Education (Aggregate levels): Basic,63.4239
AUT,Austria,2008,Education (Aggregate levels): Intermediate,94.7084
AUT,Austria,2008,Education (Aggregate levels): Advanced,13.8487
AUT,Austria,2009,Education (Aggregate levels): Total,222.9306
AUT,Austria,2009,Education (Aggregate levels): Basic,78.5514
AUT,Austria,2009,Education (Aggregate levels): Intermediate,123.7701
AUT,Austria,2009,Education (Aggregate levels): Advanced,20.6091
AUT,Austria,2010,Education (Aggregate levels): Total,203.4097
AUT,Austria,2010,Education (Aggregate levels): Basic,65.2623
AUT,Austria,2010,Education (Aggregate levels): Intermediate,117.7904
AUT,Austria,2010,Education (Aggregate levels): Advanced,20.357
AUT,Austria,2011,Education (Aggregate levels): Total,193.79
AUT,Austria,2011,Education (Aggregate levels): Basic,64.7525
AUT,Austria,2011,Education (Aggregate levels): Intermediate,107.8219
AUT,Austria,2011,Education (Aggregate levels): Advanced,21.2156
AUT,Austria,2012,Education (Aggregate levels): Total,208.8728
AUT,Austria,2012,Education (Aggregate levels): Basic,67.79
AUT,Austria,2012,Education (Aggregate levels): Intermediate,120.7493
AUT,Austria,2012,Education (Aggregate levels): Advanced,20.3334
AUT,Austria,2013,Education (Aggregate levels): Total,231.3187
AUT,Austria,2013,Education (Aggregate levels): Basic,70.1357
AUT,Austria,2013,Education (Aggregate levels): Intermediate,130.1232
AUT,Austria,2013,Education (Aggregate levels): Advanced,31.0598
